Sample,SBS5,SBS1,SBSB,SBSblood
PD46953b,0.0,0.16453427714910765,0.08720175296196792,0.7482639698889244
PD46955b,0.31594013958398265,0.13575143369352652,0.1714501083494879,0.3768583183730029
PD46957b,0.0,0.14484821282276736,0.07373857705478062,0.781413210122452
PD46958b,0.0,0.14571769648107155,0.11430992350811274,0.7399723800108157
PD46959b,0.3407721248256745,0.10387611726425947,0.1255680428728428,0.4297837150372233
PD46960b,0.0,0.14487620185949235,0.13914044409046575,0.7159833540500419
PD46961b,0.29708417868699627,0.13060487744289506,0.1770680069119181,0.39524293695819057
PD46962b,0.25554714570634635,0.11366088448793735,0.0,0.6307919698057164
PD46963b,0.18482362049990644,0.13933430936158692,0.08615323674085386,0.5896888333976528
PD46964b,0.2584236043846967,0.11761337660785216,0.21985179049623976,0.4041112285112115
PD47586b,0.14027763247271136,0.1720802878594378,0.12957880680232797,0.5580632728655228
PD47590b,0.0,0.15389783527810394,0.0,0.846102164721896
PD47592b,0.1522419338386252,0.09412301208259301,0.1368335237189739,0.6168015303598079
PD47593b,0.299433645414603,0.11086966346415966,0.0,0.5896966911212373
PD47596b,0.0,0.10486676792338392,0.09690204839908535,0.7982311836775308
PD48851b,0.30129413520630804,0.08994558140526038,0.13837292502290868,0.4703873583655229
PD48852b,0.3272698243043639,0.12854335932837144,0.12493500010848195,0.41925181625878266
PD48855b,0.27833387656653347,0.14461393187768184,0.0,0.5770521915557846
PD48859b,0.1100419816289703,0.12633209114648336,0.0,0.7636259272245464
PD48864b,0.2704921439602871,0.12967179817058164,0.0,0.5998360578691313
PD48865b,0.2849591201372816,0.13657492565364435,0.11963728719315743,0.4588286670159165
PD48866b,0.3835360015778473,0.107901345256194,0.12592885769260803,0.3826337954733507
PD48867b,0.1352070187648812,0.16412972447767962,0.14051613535170557,0.5601471214057335
PD48868b,0.1974669457871674,0.21319201006327157,0.0,0.5893410441495611
PD48869b,0.0,0.12959853337903599,0.0,0.8704014666209641
PD48871b,0.0,0.1585692916733,0.0,0.8414307083266999
PD48872b,0.0,0.1429890785556083,0.10472017307518625,0.7522907483692054
PD48873b,0.0,0.11770839392371962,0.0,0.8822916060762804
PD48875b,0.0,0.15567922894652508,0.0,0.8443207710534749
PD48882b,0.37482498867137376,0.1254597457505553,0.15134547904624426,0.3483697865318266
PD48886b,0.21326435387148646,0.17128488239056358,0.11715149357828145,0.49829927015966863
PD48898b,0.3682058921598906,0.14411016543769709,0.20694259350231567,0.2807413489000967
PD48902b,0.2956119917448766,0.10391754679583075,0.0772718114008385,0.523198650058454
PD48942b,0.2459369096768624,0.1094486822048211,0.11848096941372985,0.5261334387045867
PD48943b,0.3007316318087179,0.14406669318184676,0.1522286533670865,0.4029730216423489
PD50083b,0.34803688424697726,0.15326708482522466,0.10318048364760622,0.3955155472801919
PD50084b,0.0,0.16719817856110755,0.1363859922232412,0.6964158292156513
PD50085b,0.3159546962185763,0.22794968292183493,0.17066443206349038,0.28543118879609836
PD50135b,0.23070754737524887,0.12390671140429853,0.0,0.6453857412204526
PD50137b,0.3591388028316182,0.1589355262258671,0.11626758510166801,0.3656580858408465
PD50140b,0.30683915544941065,0.12340309420736656,0.07638990793777754,0.4933678424054454
PD50147b,0.2046456428490662,0.10247631338307761,0.12248681464394229,0.5703912291239139
PD50153b,0.0,0.14722994090145827,0.15168581784812724,0.7010842412504145
PD50154b,0.20632445154659051,0.15384615221206344,0.1763579144542159,0.46347148178713016
PD50160b,0.16234270502100498,0.12677590964394744,0.12761844878191028,0.5832629365531372
PD50161b,0.19601842259943267,0.14516702635611684,0.1672015524142231,0.4916129986302274
PD50163b,0.21654365548904933,0.1389710776062535,0.07155524256685873,0.5729300243378385
PD50164b,0.35612627798526025,0.11448410663289929,0.1866394262671038,0.34275018911473665
PD50165b,0.12262745775475063,0.16245524514674986,0.0,0.7149172970984995
PD50166b,0.3090633055511114,0.1116389210105422,0.0,0.5792977734383463
PD50167b,0.19253708811689643,0.12866850943014935,0.08186954539091555,0.5969248570620386
PD50168b,0.37425709299302223,0.14368947838375787,0.20476706602001488,0.277286362603205
PD50171b,0.23668942073265786,0.11816827737844757,0.0,0.6451423018888945
PD50187b,0.1351022150601628,0.13702955551070664,0.0,0.7278682294291305
PD50188b,0.2098894458355913,0.1522566416512146,0.0,0.6378539125131941
PD50196b,0.2950325134194548,0.15750530019023418,0.1306042809089431,0.4168579054813678
PD50201b,0.1549642450424169,0.17289161096672598,0.1380614884373568,0.5340826555535004
PD50415b2,0.2547616831693151,0.12692361135622687,0.1429250258337394,0.4753896796407186
PD50423b,0.0,0.18869631052955332,0.0,0.8113036894704467
PD50425b2,0.321379978693478,0.11544697451795442,0.1215139967884003,0.4416590500001673
PD50440b2,0.3293872222657033,0.1347319855557419,0.0,0.5358807921785548
PD50441b2,0.15613860578326108,0.15925415020551262,0.0,0.6846072440112263
PD50444b2,0.0,0.13496281827692672,0.1435147562041941,0.7215224255188792
PD50458b,0.3002423893147563,0.12545722644441906,0.1471236561196937,0.42717672812113106
